iter	prior	likelihood	posterior	prior_A	|A|	#indels	|indels|	#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/#indels	P1/|indels|	P1/#substs	Scale[1]*|T|	|T|	rs07:log_rate	rs07:mean_length	Rates.gamma:alpha	hky85:kappa	hky85:pi[A]	hky85:pi[C]	hky85:pi[G]	hky85:pi[T]	scale[1]	scale1
55	-52.951886287551211	-3819.431822867106348	-3872.383709154657481	-0.753420354931098	1140	0	0	575	-3819.431822867106348	-0.753420354931098	1140	0	0	575	0.812983951119336	1.345435354410657	-10.041718942443776	1.9593976340850237	0.23692390802826555	17.762749337448792	0.2947453831291789	0.2832889508465901	0.14272026071528968	0.27924540530894126	0.6042534473723924	0.6042534473723924
56	-50.555574159996155	-3824.357929499309648	-3874.913503659305661	-5.531864584172069	1140	0	0	575	-3824.357929499309648	-5.531864584172069	1140	0	0	575	0.749356533786175	1.475342717912767	-5.764370967889923	1.1857344954802782	0.24376250230109528	16.47909174825832	0.3000652753387753	0.28840206463542595	0.14529623457812055	0.2662364254476782	0.5079203121335244	0.5079203121335244
57	-42.545191013384922	-3824.313305184411092	-3866.858496197795830	-2.401659189789171	1140	0	0	575	-3824.313305184411092	-2.401659189789171	1140	0	0	575	0.846431258920413	0.839918985108110	-6.931748457375706	1.6762092856444561	0.25947200906092854	16.683255715869056	0.2921190952269649	0.2877376315216502	0.1387362626039118	0.28140701064747303	1.0077534547114264	1.0077534547114264
58	-47.798235716646737	-3815.584674924753926	-3863.382910641400485	-1.523326560074208	1140	0	0	575	-3815.584674924753926	-1.523326560074208	1140	0	0	575	0.824731501609748	0.897645489892794	-7.917597958635769	2.3111341811349106	0.28586391337926564	19.615415591084286	0.3098719480708229	0.27712502702798864	0.1412964087644421	0.27170661613674635	0.9187719549599096	0.9187719549599096
59	-53.714227742369765	-3814.202016310199269	-3867.916244052569255	-2.954829471133738	1140	0	0	575	-3814.202016310199269	-2.954829471133738	1140	0	0	575	0.743548689870191	1.016119408176496	-7.491749938448374	7.440467077262937	0.2317135810321453	20.02425607099	0.3098719480708229	0.27712502702798864	0.1412964087644421	0.27170661613674635	0.7317532603816183	0.7317532603816183
60	-51.299922507427361	-3813.775751778634458	-3865.075674286061712	-3.076966670580763	1140	0	0	577	-3813.775751778634458	-3.076966670580763	1140	0	0	577	0.927089440415461	0.717741279486269	-7.1891533004030155	4.392031065933216	0.2779552666460632	21.81973847527502	0.29850568087231644	0.3036404639530348	0.1361135816443861	0.2617402735302628	1.2916763559691526	1.2916763559691526
61	-39.461102645459661	-3822.956471872063048	-3862.417574517522553	-4.075965589970529	1140	0	0	577	-3822.956471872063048	-4.075965589970529	1140	0	0	577	0.794541812620306	0.470999247732462	-6.808599044919071	7.93715094101702	0.2690416203083294	16.77210656018049	0.30784534443326744	0.2818527252234641	0.1403723115115017	0.2699296188317668	1.6869279864999351	1.6869279864999351
62	-39.571216995575945	-3820.227027390426883	-3859.798244386002807	-2.736960831397138	1140	0	0	577	-3820.227027390426883	-2.736960831397138	1140	0	0	577	0.876622191276575	0.522828245321298	-7.933399338337611	7.526119833280572	0.2510581804033872	16.972600984911104	0.296488766298326	0.30006041870493383	0.13165238023109305	0.27179843476564713	1.676692487678925	1.676692487678925
63	-53.413325229863688	-3812.402484681112583	-3865.815809910976441	-2.342328996530824	1140	0	0	577	-3812.402484681112583	-2.342328996530824	1140	0	0	577	0.955146524231047	0.878550443179477	-7.670350270705009	3.7632068911794603	0.2591997863128125	21.909146203589252	0.30518083945068836	0.2926614732474159	0.13369195227642539	0.2684657350254704	1.0871846137535004	1.0871846137535004
64	-52.548667488199015	-3816.136074322979766	-3868.684741811178810	-2.358712528010816	1140	0	0	577	-3816.136074322979766	-2.358712528010816	1140	0	0	577	0.782284738512178	1.029359456889365	-8.173442273255025	6.387918719362634	0.26207128191718554	19.589937129543554	0.30095988905432086	0.28861367796731685	0.1318428614227268	0.27858357155563557	0.7599723626925956	0.7599723626925956
65	-56.379449409835125	-3814.359351057983531	-3870.738800467818692	-4.740045453076913	1140	0	0	575	-3814.359351057983531	-4.740045453076913	1140	0	0	575	0.790555043509236	0.898332714604731	-6.590507892282862	9.589464424158571	0.21937527395259676	22.176538817211306	0.29642050831264816	0.28503346756666487	0.15797232669552053	0.26057369742516634	0.8800247732902422	0.8800247732902422
66	-55.741612876860430	-3814.763143077631412	-3870.504755954491884	-3.288339638702020	1140	0	0	577	-3814.763143077631412	-3.288339638702020	1140	0	0	577	0.862209857600797	1.135432233499636	-7.218826473035953	6.330680323997519	0.22301344342647933	20.66004709441196	0.296272971343947	0.2848915982539693	0.15033127847643937	0.2685041519256444	0.7593670781595558	0.7593670781595558
67	-47.384364257607956	-3829.442867786453917	-3876.827232044061930	-6.669187990384515	1140	0	0	577	-3829.442867786453917	-6.669187990384515	1140	0	0	577	0.766904687795102	0.801243280547390	-5.914827688358108	7.022389740688864	0.30213788330672514	17.94489678998952	0.288154180760284	0.28601293950526496	0.15075090637980537	0.2750819733546457	0.9571433625891648	0.9571433625891648
68	-52.348987644234782	-3820.554368149798393	-3872.903355794033359	-3.670390031337657	1140	0	0	575	-3820.554368149798393	-3.670390031337657	1140	0	0	575	0.810888544664263	1.356436928844546	-7.113587136028343	8.685787612592435	0.21689327761309501	17.481194120453225	0.28829333843393684	0.28595702726384914	0.15072143631077373	0.27502819799144024	0.597807776698473	0.597807776698473
69	-45.328888763683089	-3819.463912343935135	-3864.792801107618288	-3.542725176282211	1140	0	0	577	-3819.463912343935135	-3.542725176282211	1140	0	0	577	0.947426086950883	0.724329241374103	-7.370851053525066	8.843095420443165	0.21371997947908114	18.099562265716024	0.28829333843393684	0.28595702726384914	0.15072143631077373	0.27502819799144024	1.3080047481633486	1.3080047481633486
70	-67.794913824724560	-3805.677655079611668	-3873.472568904336185	-2.328337412673125	1140	0	0	577	-3805.677655079611668	-2.328337412673125	1140	0	0	577	0.890752214561856	1.578150455350187	-7.930942552323149	4.938165338795066	0.2473359359786147	26.252938587369233	0.284915586445659	0.29960766694044716	0.1440795285556697	0.27139721805822403	0.5644279425590002	0.5644279425590002
71	-67.918264936885393	-3808.994111390503349	-3876.912376327388756	-2.053918777251916	1140	0	0	577	-3808.994111390503349	-2.053918777251916	1140	0	0	577	0.850403724478916	1.575946249652951	-7.463335432604509	2.5612958278484506	0.18998612760898254	27.470696630361747	0.28155127146459863	0.2976039908846358	0.15265220817389277	0.2681925294768728	0.5396146757328739	0.5396146757328739
